,Algo,lag,dropout,epochs,batch_size,loss,rmse,power_gen_rmse,r2,model_filename,time_ran
0,Linear Regression,NA,NA,NA,NA,NA,0.23213936972170546,0.48180843674815976,0.7648398704863757,1696255015_model_linear_mod.pkl,1696255016
1,LSTM,24,0.25,60,32,"{'loss': [0.786285936832428, 0.35322442650794983, 0.27117154002189636, 0.26401954889297485, 0.2527768611907959, 0.25661981105804443, 0.24843525886535645, 0.2502633333206177, 0.25055983662605286, 0.24822930991649628, 0.25420495867729187, 0.24668201804161072, 0.2466859072446823, 0.24082744121551514, 0.24179479479789734, 0.24511389434337616, 0.24038289487361908, 0.24636797606945038, 0.23875732719898224, 0.23839253187179565, 0.23410966992378235, 0.2389131635427475, 0.23626644909381866, 0.2375800907611847, 0.23864392936229706, 0.23733636736869812, 0.23776262998580933, 0.23830854892730713, 0.23919716477394104, 0.23582947254180908, 0.2371840924024582, 0.2375454604625702, 0.23036113381385803, 0.23769526183605194, 0.23661662638187408, 0.23086483776569366, 0.23189523816108704, 0.23810458183288574, 0.23248128592967987, 0.2363842874765396, 0.23423708975315094, 0.236747145652771, 0.22924025356769562, 0.22720839083194733, 0.22990310192108154, 0.23199209570884705, 0.23387783765792847, 0.23961351811885834, 0.2269364446401596, 0.22844700515270233, 0.2353932410478592, 0.2312035709619522, 0.2320258915424347, 0.23079583048820496, 0.23381155729293823, 0.23370398581027985, 0.2318754345178604, 0.2358495444059372, 0.23401811718940735, 0.229566290974617], 'val_loss': [0.4509269595146179, 0.25206878781318665, 0.23463015258312225, 0.22751781344413757, 0.2233298420906067, 0.22055235505104065, 0.21842949092388153, 0.21742157638072968, 0.21637935936450958, 0.2151302695274353, 0.2146192044019699, 0.214541494846344, 0.21390555799007416, 0.2135094553232193, 0.21338674426078796, 0.2123546451330185, 0.2121930867433548, 0.2116178721189499, 0.21176406741142273, 0.21191473305225372, 0.2115565985441208, 0.2111741453409195, 0.211466982960701, 0.21133635938167572, 0.2105787694454193, 0.21070381999015808, 0.21042607724666595, 0.21061857044696808, 0.21051301062107086, 0.21032096445560455, 0.21035927534103394, 0.20977558195590973, 0.20954746007919312, 0.2094898819923401, 0.20886124670505524, 0.20923931896686554, 0.20843596756458282, 0.20841379463672638, 0.208931103348732, 0.2081870138645172, 0.20804861187934875, 0.20845414698123932, 0.20798762142658234, 0.20780949294567108, 0.20766876637935638, 0.20777857303619385, 0.20838762819766998, 0.2078676074743271, 0.2076348513364792, 0.20772826671600342, 0.20790790021419525, 0.20734402537345886, 0.20735302567481995, 0.20740735530853271, 0.20740601420402527, 0.20769116282463074, 0.2078218013048172, 0.2078673243522644, 0.20758983492851257, 0.20788125693798065]}",0.2078812800753151,0.4559399961347053,0.789413623356632,1696255035_model_24_lag.h5,1696255036
2,LSTM,24,0.3,60,64,"{'loss': [0.8729152679443359, 0.5530946254730225, 0.37718579173088074, 0.3158334195613861, 0.2895214557647705, 0.2745267450809479, 0.2683672308921814, 0.26513954997062683, 0.26050570607185364, 0.2547016143798828, 0.2562125027179718, 0.25465744733810425, 0.256207674741745, 0.2541903555393219, 0.2531965672969818, 0.2564297318458557, 0.2559312880039215, 0.24570640921592712, 0.2541097104549408, 0.24786953628063202, 0.24733659625053406, 0.24550852179527283, 0.2474474459886551, 0.24207814037799835, 0.2521042823791504, 0.2405340075492859, 0.24175426363945007, 0.2421903759241104, 0.24516621232032776, 0.2534373998641968, 0.2488863170146942, 0.24956683814525604, 0.24827834963798523, 0.24338755011558533, 0.23905640840530396, 0.24009361863136292, 0.2382286638021469, 0.2392587512731552, 0.24189627170562744, 0.23387259244918823, 0.23989208042621613, 0.23885898292064667, 0.23657254874706268, 0.2438567727804184, 0.23889212310314178, 0.2367064356803894, 0.23716647922992706, 0.2378583699464798, 0.23830194771289825, 0.24005092680454254, 0.23762862384319305, 0.24013079702854156, 0.2378571331501007, 0.23970983922481537, 0.24291406571865082, 0.23918995261192322, 0.23130390048027039, 0.23691335320472717, 0.238662451505661, 0.23752009868621826], 'val_loss': [0.6598387360572815, 0.40392324328422546, 0.28943267464637756, 0.25746288895606995, 0.24475227296352386, 0.23609896004199982, 0.23122555017471313, 0.2276124507188797, 0.22386398911476135, 0.22211942076683044, 0.22059942781925201, 0.22085630893707275, 0.2199287861585617, 0.21903061866760254, 0.2194596379995346, 0.21782955527305603, 0.21705642342567444, 0.21637006103992462, 0.21626810729503632, 0.21644137799739838, 0.21578751504421234, 0.21567876636981964, 0.2154693901538849, 0.21487019956111908, 0.21488507091999054, 0.2153511643409729, 0.21454355120658875, 0.2141345888376236, 0.21431776881217957, 0.21411921083927155, 0.21399332582950592, 0.21374966204166412, 0.21329288184642792, 0.21315431594848633, 0.21299795806407928, 0.21328862011432648, 0.21325552463531494, 0.21253861486911774, 0.21244102716445923, 0.21250644326210022, 0.21220161020755768, 0.21209712326526642, 0.2120494693517685, 0.21223200857639313, 0.2125304937362671, 0.21224245429039001, 0.2118459790945053, 0.2120935469865799, 0.2116522639989853, 0.21171621978282928, 0.21138012409210205, 0.21115835011005402, 0.21114481985569, 0.21105855703353882, 0.21101628243923187, 0.211473286151886, 0.21078333258628845, 0.21045801043510437, 0.210185706615448, 0.2114972323179245]}",0.21149723380679106,0.459888284050367,0.7857506163069077,1696255049_model_24_lag.h5,1696255050
3,LSTM,24,0.25,60,32,"{'loss': [0.7584456205368042, 0.31299927830696106, 0.2793896496295929, 0.26254668831825256, 0.2657777965068817, 0.2562045753002167, 0.2631594240665436, 0.2524377405643463, 0.2529483437538147, 0.25146353244781494, 0.24918943643569946, 0.244089737534523, 0.2531862258911133, 0.24069878458976746, 0.24536074697971344, 0.2420114278793335, 0.2508757710456848, 0.24641390144824982, 0.24081125855445862, 0.2445795089006424, 0.24413567781448364, 0.23639576137065887, 0.24101018905639648, 0.24137023091316223, 0.2374873012304306, 0.2352330982685089, 0.23614323139190674, 0.24062398076057434, 0.23758403956890106, 0.22917816042900085, 0.2335817515850067, 0.2353089153766632, 0.2372685968875885, 0.2358001470565796, 0.23457518219947815, 0.23128260672092438, 0.2404554933309555, 0.2364782840013504, 0.2337508350610733, 0.23239322006702423, 0.23283132910728455, 0.23563221096992493, 0.23676925897598267, 0.23307636380195618, 0.23211967945098877, 0.23341435194015503, 0.22834426164627075, 0.23586326837539673, 0.23470471799373627, 0.23431222140789032, 0.23193928599357605, 0.23314949870109558, 0.2349911332130432, 0.23244990408420563, 0.23152169585227966, 0.22452422976493835, 0.2294432371854782, 0.22625219821929932, 0.2368309199810028, 0.23446930944919586], 'val_loss': [0.37348097562789917, 0.24552376568317413, 0.23109285533428192, 0.2248699963092804, 0.2217259258031845, 0.22021934390068054, 0.220730260014534, 0.21805132925510406, 0.21774855256080627, 0.21579192578792572, 0.2149745672941208, 0.21452540159225464, 0.21441669762134552, 0.21345248818397522, 0.21359670162200928, 0.21275198459625244, 0.212928906083107, 0.2127784788608551, 0.21194754540920258, 0.21071133017539978, 0.21062077581882477, 0.21105219423770905, 0.21000324189662933, 0.20991598069667816, 0.20981021225452423, 0.20978780090808868, 0.20941035449504852, 0.20872049033641815, 0.20869962871074677, 0.20921282470226288, 0.20863591134548187, 0.2083055078983307, 0.20867282152175903, 0.20789815485477448, 0.20851194858551025, 0.20921768248081207, 0.2078874409198761, 0.20749248564243317, 0.2082316130399704, 0.20969490706920624, 0.20875674486160278, 0.2077789306640625, 0.20831991732120514, 0.20759278535842896, 0.20707671344280243, 0.20686954259872437, 0.20672650635242462, 0.20663321018218994, 0.2071082890033722, 0.2067181020975113, 0.20641730725765228, 0.2065882384777069, 0.20606352388858795, 0.20614206790924072, 0.20599637925624847, 0.20583505928516388, 0.20539820194244385, 0.20588238537311554, 0.20518936216831207, 0.2053564488887787]}",0.20535644048532606,0.4531627086216672,0.7919713179247475,1696255078_enhanced_model_24_lag.h5,1696255079
4,LSTM,24,0.25,60,32,"{'loss': [0.8970687985420227, 0.3708684742450714, 0.2896178066730499, 0.2838956117630005, 0.25887054204940796, 0.2657127380371094, 0.2597780227661133, 0.2602476179599762, 0.26168203353881836, 0.25980743765830994, 0.25239843130111694, 0.2550046145915985, 0.25706395506858826, 0.25581952929496765, 0.2469272017478943, 0.24984382092952728, 0.2525680959224701, 0.245093435049057, 0.242002934217453, 0.2437276691198349, 0.24436484277248383, 0.24014364182949066, 0.24185897409915924, 0.24451522529125214, 0.24413667619228363, 0.24732521176338196, 0.24643176794052124, 0.24075192213058472, 0.24262520670890808, 0.23993097245693207, 0.23261436820030212, 0.2356526404619217, 0.23948293924331665, 0.23471255600452423, 0.23285914957523346, 0.2387446016073227, 0.23779897391796112, 0.2339317351579666, 0.23271702229976654, 0.22958041727542877, 0.23881429433822632, 0.22883440554141998, 0.2309669703245163, 0.23215124011039734, 0.23173606395721436, 0.23563764989376068, 0.22908338904380798, 0.231346994638443, 0.23353378474712372, 0.2333807498216629, 0.23078618943691254, 0.22865667939186096, 0.2331704944372177, 0.23424473404884338, 0.22658108174800873, 0.23254166543483734, 0.22829271852970123, 0.22879977524280548, 0.22699353098869324, 0.22305803000926971], 'val_loss': [0.5828679800033569, 0.24665391445159912, 0.23229429125785828, 0.2262115478515625, 0.2237432599067688, 0.2220647931098938, 0.22258378565311432, 0.22332216799259186, 0.2183254361152649, 0.2173532396554947, 0.2175406515598297, 0.2155659943819046, 0.21493341028690338, 0.21618525683879852, 0.21675093472003937, 0.21297641098499298, 0.21163791418075562, 0.21152536571025848, 0.2115015685558319, 0.2093762904405594, 0.20934443175792694, 0.21011246740818024, 0.2105872929096222, 0.2099560797214508, 0.21114230155944824, 0.20936433970928192, 0.2108813226222992, 0.20840571820735931, 0.2104373574256897, 0.20794863998889923, 0.2076212465763092, 0.20619161427021027, 0.20809921622276306, 0.2069198340177536, 0.20624682307243347, 0.20681791007518768, 0.2071610987186432, 0.2055293470621109, 0.20602542161941528, 0.2061111181974411, 0.20534749329090118, 0.20556415617465973, 0.20606210827827454, 0.20573361217975616, 0.20509566366672516, 0.20614174008369446, 0.20522575080394745, 0.20683254301548004, 0.20466038584709167, 0.20778201520442963, 0.20601889491081238, 0.2048969864845276, 0.20518869161605835, 0.20567220449447632, 0.20581018924713135, 0.20646372437477112, 0.20534734427928925, 0.206254780292511, 0.20588809251785278, 0.20527960360050201]}",0.20527959767559145,0.4530779156785193,0.7920491606668513,1696255116_enhanced_model_24_lag.h5,1696255119
